Borough,Area_km²,Population,P_density_km²,Location,Neighbourhoods
Centrum (Centre),8.04,"86,422","13,748",Map NL - Amsterdam - Stadsdeel Binnenstad.png,"Binnenstad, Grachtengordel, Haarlemmerbuurt, Jodenbuurt, Jordaan, Kadijken, Lastage, Oosterdokseiland, Oostelijke Eilanden, Plantage, Rapenburg, Uilenburg, Westelijke Eilanden, Weteringschans"
Noord (North),49.01,"94,766","2,269",Map NL - Amsterdam - Stadsdeel Noord.png,"Banne Buiksloot, Buiksloot, Buikslotermeer, Floradorp, Kadoelen, Molenwijk, Nieuwendam, Nieuwendammerdijk en Buiksloterdijk, Oostzanerwerf, Overhoeks, Tuindorp Nieuwendam, Tuindorp Oostzaan"
Nieuw-West,32.38,"1,51,677","4,478",Amsterdam - Stadsdeel Nieuw-West.PNG,"Geuzenveld, Nieuw Sloten, Oostoever, Osdorp, Overtoomse Veld, Sloten, Slotermeer, Slotervaart"
Oost (East),30.56,"1,35,767","7,635",Amsterdam - Stadsdeel Oost.PNG,"IJburg, Indische Buurt, Eastern Docklands, Oud-Oost, Watergraafsmeer"
West,9.89,"1,43,842","15,252",Amsterdam - Stadsdeel West.PNG,"Frederik Hendrikbuurt, Houthaven, Spaarndammerbuurt, Staatsliedenbuurt, Zeeheldenbuurt, Westerpark, Kinkerbuurt, Overtoombuurt, De Baarsjes, Bos en Lommer, Kolenkitbuurt, Landlust, Sloterdijk"
Westpoort,10,192,10,Map NL - Amsterdam - Westpoort.png,Westpoort
Zuid (South),17.41,"1,44,432","9,349",Amsterdam - Stadsdeel Zuid.PNG,"Apollobuurt, Buitenveldert, Hoofddorppleinbuurt, Museumkwartier, De Pijp, Prinses Irenebuurt, Rivierenbuurt, Schinkelbuurt, Stadionbuurt, Vondelpark, Willemspark, Zuidas"
Zuidoost,22.08,"87,854","4,391",Map NL - Amsterdam - Stadsdeel Zuidoost.png,"Bijlmermeer, Venserpolder, Gaasperdam, Driemond"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
